Country: Australia attributed to Oceania and Oceania, Australasia and Australia and New Zealand
Country: Ireland attributed to Europe and Europe, West Europe and North Europe
Country: Palau attributed to Oceania and Oceania, Melanesia and Micronesia
Country: Cameroon attributed to Africa and Africa, Central Africa and Middle Africa in serious_assault_0.csv
Country: Ireland attributed to Europe and Europe, West Europe and North Europe in serious_assault_0.csv
Country: Australia attributed to Oceania and Oceania, Australasia and Australia and New Zealand in serious_assault_0.csv
Country: New Zealand attributed to Oceania and Oceania, Australasia and Australia and New Zealand in serious_assault_0.csv
Country: Cameroon attributed to Africa and Africa, Central Africa and Middle Africa in kidnapping_0.csv
Country: Ireland attributed to Europe and Europe, West Europe and North Europe in kidnapping_0.csv
Country: Australia attributed to Oceania and Oceania, Australasia and Australia and New Zealand in kidnapping_0.csv
Country: New Zealand attributed to Oceania and Oceania, Australasia and Australia and New Zealand in kidnapping_0.csv
Country: Cameroon attributed to Africa and Africa, Central Africa and Middle Africa in robbery_0.csv
Country: Ireland attributed to Europe and Europe, West Europe and North Europe in robbery_0.csv
Country: Australia attributed to Oceania and Oceania, Australasia and Australia and New Zealand in robbery_0.csv
Country: New Zealand attributed to Oceania and Oceania, Australasia and Australia and New Zealand in robbery_0.csv
Country,Region,Subregion,Guns,Homicides,Serious Assault,Robbery,Kidnapping
Montenegro,Europe,South Europe,39.100,2.230,23.410,18.790,0.000
Serbia,Europe,South Europe,39.100,1.227,14.540,20.713,0.136
Canada,Americas,North America,34.700,1.756,150.810,61.905,10.285
Uruguay,Americas,South America,34.700,12.060,12.480,522.461,1.077
Cyprus,Asia,West Asia,34.000,1.261,12.200,9.915,3.051
Finland,Europe,North Europe,32.400,1.630,28.690,29.759,0.018
Lebanon,Asia,West Asia,31.900,2.493,-1.000,-1.000,-1.000
Iceland,Europe,North Europe,31.700,0.891,30.840,14.671,-1.000
Bosnia and Herzegovina,Europe,South Europe,31.200,1.173,22.430,19.690,0.000
Austria,Europe,West Europe,30.000,0.967,-1.000,-1.000,-1.000
Liechtenstein,Europe,West Europe,28.800,2.637,-1.000,-1.000,-1.000
Norway,Europe,North Europe,28.800,0.468,39.880,14.747,-1.000
Malta,Europe,South Europe,28.300,1.594,-1.000,-1.000,-1.000
Switzerland,Europe,West Europe,27.600,0.586,6.930,20.648,0.035
Sweden,Europe,North Europe,23.100,1.083,47.300,87.320,-1.000
Pakistan,Asia,South Asia,22.300,3.883,13.130,5.992,8.832
Portugal,Europe,South Europe,21.300,0.790,5.680,115.512,2.838
France,Europe,West Europe,19.600,1.199,-1.000,154.342,-1.000
Germany,Europe,West Europe,19.600,0.948,165.810,47.000,5.595
Greece,Europe,South Europe,17.600,0.941,14.290,40.411,0.738
Oman,Asia,West Asia,16.700,0.269,1.370,0.707,0.300
Paraguay,Americas,South America,16.700,7.145,3.120,28.819,0.437
Turkey,Asia,West Asia,16.500,2.590,-1.000,-1.000,-1.000
Guyana,Americas,South America,15.800,14.249,271.230,161.290,0.000
Slovenia,Europe,South Europe,15.600,0.481,67.340,11.464,0.048
Australia,Oceania,Australasia,14.500,0.892,296.780,39.044,1.961
Italy,Europe,South Europe,14.400,0.569,108.410,51.368,0.326
Honduras,Americas,Central America,14.100,38.926,21.770,120.829,0.212
Croatia,Europe,South Europe,13.700,0.577,19.080,20.655,0.000
Lithuania,Europe,North Europe,13.600,4.569,6.260,38.243,0.000
Mexico,Americas,Central America,12.900,29.071,43.970,179.213,0.977
Afghanistan,Asia,South Asia,12.500,6.656,-1.000,-1.000,-1.000
Chile,Americas,South America,12.100,4.405,59.390,633.481,1.624
Guatemala,Americas,Central America,12.100,22.501,-1.000,-1.000,-1.000
Albania,Europe,South Europe,12.000,2.289,4.330,6.380,0.069
El Salvador,Americas,Central America,12.000,52.019,58.630,59.440,0.235
Puerto Rico,Americas,Caribbean,11.500,21.088,100.350,90.961,0.948
Panama,Americas,Central America,10.800,9.385,81.400,242.805,0.852
Latvia,Europe,North Europe,10.500,4.356,33.680,30.958,0.205
Colombia,Americas,South America,10.100,25.344,250.550,244.390,0.399
Georgia,Asia,West Asia,10.100,2.223,-1.000,-1.000,-1.000
Costa Rica,Americas,Central America,10.000,11.261,155.450,1587.500,0.202
Denmark,Europe,North Europe,9.900,1.008,33.220,35.625,-1.000
South Africa,Africa,South Africa,9.700,36.399,293.550,331.686,9.568
Jamaica,Americas,Caribbean,8.800,43.852,98.730,43.376,0.411
Bulgaria,Europe,East Europe,8.400,1.305,39.580,21.937,1.436
Brazil,Americas,South America,8.300,27.383,284.790,797.334,0.252
Mauritius,Africa,East Africa,8.300,2.920,-1.000,-1.000,-1.000
Mongolia,Asia,East Asia,7.900,6.183,12.780,39.595,-1.000
Spain,Europe,South Europe,7.500,0.621,38.780,143.167,0.148
Argentina,Americas,South America,7.400,5.324,323.460,922.596,-1.000
Dominican Republic,Americas,Caribbean,7.400,10.050,-1.000,-1.000,-1.000
Ireland,Europe,West Europe,7.200,0.872,85.150,46.013,1.599
Slovakia,Europe,East Europe,6.500,1.137,30.140,8.609,1.670
Armenia,Asia,West Asia,6.100,1.694,6.150,7.776,1.188
Belarus,Europe,East Europe,6.100,2.391,-1.000,-1.000,-1.000
India,Asia,South Asia,5.300,3.079,-1.000,-1.000,-1.000
Estonia,Europe,North Europe,5.000,2.117,5.760,15.239,0.000
Morocco,Africa,North Africa,4.800,1.416,331.310,135.392,2.147
Azerbaijan,Asia,West Asia,3.600,2.201,3.750,4.033,0.071
China,Asia,East Asia,3.600,0.527,-1.000,-1.000,-1.000
Philippines,Asia,South-East Asia,3.600,6.465,-1.000,15.282,-1.000
Barbados,Americas,Caribbean,3.500,9.768,502.450,83.566,3.497
Saint Lucia,Americas,Caribbean,3.400,21.442,-1.000,-1.000,-1.000
Kyrgyzstan,Asia,Central Asia,2.800,2.189,-1.000,-1.000,-1.000
Haiti,Americas,Caribbean,2.600,6.680,-1.000,-1.000,-1.000
Netherlands,Europe,West Europe,2.600,0.586,28.140,47.218,2.068
Romania,Europe,East Europe,2.600,1.282,1.380,16.093,1.582
Poland,Europe,East Europe,2.500,0.730,19.240,21.379,-1.000
Ecuador,Americas,South America,2.400,5.801,38.860,457.236,4.742
Sri Lanka,Asia,South Asia,2.400,2.421,-1.000,-1.000,-1.000
Kenya,Africa,East Africa,1.500,4.929,31.800,5.402,-1.000
Bhutan,Asia,South Asia,0.800,1.193,131.370,2.279,0.000
Uganda,Africa,East Africa,0.800,10.524,13.920,16.640,-1.000
Palau,Oceania,Melanesia,0.500,11.166,-1.000,-1.000,-1.000
Bangladesh,Asia,South Asia,0.400,2.373,-1.000,-1.000,-1.000
Japan,Asia,East Asia,0.300,0.263,-1.000,-1.000,-1.000
Singapore,Asia,South-East Asia,0.300,0.156,7.360,1.209,-1.000
